time_y,drainage_area_m2,depr_area_m2,depr_depth_m,depr_perimeter_m,debr_removed_m3
0.000000000000000000e+00,1.530000000000000000e+02,1.000000000000000000e+00,-9.981169417285684631e-02,4.000000000000000000e+00,6.184658438426490888e-06
5.000000000000000104e-03,1.530000000000000000e+02,1.000000000000000000e+00,-9.979301537352114337e-02,4.000000000000000000e+00,6.184658438426490888e-06
1.000000000000000021e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.977439527625620030e-02,4.000000000000000000e+00,6.184658438426490888e-06
1.499999999999999944e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.975583401963206143e-02,4.000000000000000000e+00,6.184658438426490888e-06
2.000000000000000042e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.973733174103927013e-02,4.000000000000000000e+00,6.184658438426490888e-06
2.500000000000000139e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.971888857658939287e-02,4.000000000000000000e+00,6.184658438426490888e-06
2.999999999999999889e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.970050466118607346e-02,4.000000000000000000e+00,6.184658438426490888e-06
3.500000000000000333e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.968218012848240051e-02,4.000000000000000000e+00,6.184658438426490888e-06
4.000000000000000083e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.966391511095196165e-02,4.000000000000000000e+00,6.184658438426490888e-06
4.499999999999999833e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.964570973976094592e-02,4.000000000000000000e+00,6.184658438426490888e-06
5.000000000000000278e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.962756414491025225e-02,4.000000000000000000e+00,6.184658438426490888e-06
5.500000000000000028e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.960947845512180265e-02,4.000000000000000000e+00,6.184658438426490888e-06
5.999999999999999778e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.959145279793801819e-02,4.000000000000000000e+00,6.184658438426490888e-06
6.500000000000000222e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.957348729963655387e-02,4.000000000000000000e+00,6.184658438426490888e-06
7.000000000000000666e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.955558208527293118e-02,4.000000000000000000e+00,6.184658438426490888e-06
7.499999999999999722e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.953773727865211640e-02,4.000000000000000000e+00,6.184658438426490888e-06
8.000000000000000167e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.951995300239957487e-02,4.000000000000000000e+00,6.184658438426490888e-06
8.500000000000000611e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.950222937786179500e-02,4.000000000000000000e+00,6.184658438426490888e-06
