time_y,drainage_area_m2,depr_area_m2,depr_depth_m,depr_perimeter_m,debr_removed_m3
0.000000000000000000e+00,1.530000000000000000e+02,1.000000000000000000e+00,-9.981169417285684631e-02,4.000000000000000000e+00,6.184658438426490854e-04
5.000000000000000104e-03,1.530000000000000000e+02,1.000000000000000000e+00,-9.979282042247916706e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.000000000000000021e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.977381152295095035e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.499999999999999944e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.975466871323135365e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.000000000000000042e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.973539323155478087e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.500000000000000139e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.971598631544509317e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.999999999999999889e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.969644920167297641e-02,4.000000000000000000e+00,6.184658438426490854e-04
3.500000000000000333e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.967678312631278459e-02,4.000000000000000000e+00,6.184658438426490854e-04
4.000000000000000083e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.965698932468569637e-02,4.000000000000000000e+00,6.184658438426490854e-04
4.499999999999999833e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.963706903135971515e-02,4.000000000000000000e+00,6.184658438426490854e-04
5.000000000000000278e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.961702348017809072e-02,4.000000000000000000e+00,6.184658438426490854e-04
5.500000000000000028e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.959685390423089757e-02,4.000000000000000000e+00,6.184658438426490854e-04
5.999999999999999778e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.957656153584082404e-02,4.000000000000000000e+00,6.184658438426490854e-04
6.500000000000000222e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.955614760659159401e-02,4.000000000000000000e+00,6.184658438426490854e-04
7.000000000000000666e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.953561334728533438e-02,4.000000000000000000e+00,6.184658438426490854e-04
7.499999999999999722e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.951495998795678588e-02,4.000000000000000000e+00,6.184658438426490854e-04
8.000000000000000167e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.949418875788751393e-02,4.000000000000000000e+00,6.184658438426490854e-04
8.500000000000000611e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.947330088557748695e-02,4.000000000000000000e+00,6.184658438426490854e-04
8.999999999999999667e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.945229759873086550e-02,4.000000000000000000e+00,6.184658438426490854e-04
9.500000000000000111e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.943118012427021313e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.000000000000000056e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.940994968835070722e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.049999999999999961e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.938860751633171731e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.100000000000000006e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.936715483276259420e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.150000000000000050e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.934559286141109169e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.199999999999999956e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.932392282522073401e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.250000000000000000e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.930214594633923753e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.300000000000000044e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.928026344613272158e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.350000000000000089e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.925827654512886511e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.400000000000000133e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.923618646303111746e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.449999999999999900e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.921399441874712011e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.499999999999999944e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.919170163036028498e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.549999999999999989e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.916930931511558356e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.600000000000000033e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.914681868946217946e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.650000000000000078e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.912423096898237418e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.700000000000000122e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.910154736846266132e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.750000000000000167e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.907876910183688324e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.799999999999999933e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.905589738220044183e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.849999999999999978e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.903293342182450942e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.900000000000000022e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.900987843212760708e-02,4.000000000000000000e+00,6.184658438426490854e-04
1.950000000000000067e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.898673362368981543e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.000000000000000111e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.896350020625277466e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.050000000000000155e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.894017938871968454e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.099999999999999922e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.891677237912688270e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.149999999999999967e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.889328038465805548e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.200000000000000011e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.886970461168687052e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.250000000000000056e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.884604626570592245e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.300000000000000100e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.882230655132673292e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.350000000000000144e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.879848667237922655e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.399999999999999911e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.877458783176962243e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.449999999999999956e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.875061123159412091e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.500000000000000000e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.872655807306784936e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.550000000000000044e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.870242955655328387e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.600000000000000089e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.867822688157446009e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.650000000000000133e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.865395124674591898e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.700000000000000178e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.862960384990060447e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.750000000000000222e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.860518588793354411e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.800000000000000266e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.858069855695816841e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.850000000000000311e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.855614305214999149e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.899999999999999800e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.853152056788871960e-02,4.000000000000000000e+00,6.184658438426490854e-04
2.949999999999999845e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.850683229767298599e-02,4.000000000000000000e+00,6.184658438426490854e-04
